feature,importance
num__curricular_units_2nd_sem_approved,0.5153770703959882
cat__tuition_fees_up_to_date,0.06324893507783069
num__curricular_units_1st_sem_enrolled,0.048911149320735356
num__curricular_units_2nd_sem_grade,0.040845254386603885
num__curricular_units_2nd_sem_evaluations,0.03745517152256073
num__admission_grade,0.032218510412021006
num__previous_qualification_grade,0.026711984035503733
num__curricular_units_1st_sem_evaluations,0.025384551842875136
num__curricular_units_1st_sem_approved,0.024244689542163404
cat__course,0.023346994874049128
num__age_at_enrollment,0.021495270264710663
num__curricular_units_1st_sem_grade,0.01518689669179376
num__gdp,0.012337989006941193
cat__fathers_qualification,0.012253843116075781
num__unemployment_rate,0.011483658029951558
num__curricular_units_2nd_sem_credited,0.010224959091046046
cat__application_order,0.009464438274373039
cat__application_mode,0.00870287064476308
cat__scholarship_holder,0.008563353525120528
cat__mothers_occupation,0.0077447242306283555
num__inflation_rate,0.006981498219956928
num__curricular_units_2nd_sem_enrolled,0.006977543259729486
cat__fathers_occupation,0.0069257776717843895
cat__debtor,0.005005360525031575
cat__mothers_qualification,0.004709461563420179
num__curricular_units_1st_sem_credited,0.0046471039259492995
cat__marital_status,0.0038278993298750054
num__curricular_units_2nd_sem_without_evaluations,0.002545243270618204
cat__international,0.0017524617163536585
cat__previous_qualification,0.0014253362315461936
cat__nacionality,0.0
num__curricular_units_1st_sem_without_evaluations,0.0
cat__educational_special_needs,0.0
cat__daytime_evening_attendance,0.0
cat__displaced,0.0
cat__gender,0.0
